Current Time,Latitude,Longitude,Time,GPS_Altitude,GPS_Speed,Number of Satellites
2019-05-18 16:10,46.004490,-72.732582,973247,41.700001,0.185200,6
2019-05-18 16:10,46.004490,-72.732582,973302,41.700001,0.185200,6
2019-05-18 16:10,46.004490,-72.732582,973358,41.700001,0.185200,6
2019-05-18 16:10,46.004490,-72.732582,973192,41.700001,0.185200,6
2019-05-18 16:10,46.004490,-72.732582,973247,41.700001,0.185200,6
2019-05-18 16:10,46.004490,-72.732582,973302,41.700001,0.185200,6
2019-05-18 16:10,46.004490,-72.732582,973358,41.700001,0.185200,6
2019-05-18 16:10,46.004494,-72.732582,974627,41.700001,0.333360,3
2019-05-18 16:10,46.004494,-72.732582,974683,41.700001,0.333360,3
2019-05-18 16:10,46.004494,-72.732582,974738,41.700001,0.425960,3
2019-05-18 16:10,46.004494,-72.732582,974793,41.700001,0.425960,3
2019-05-18 16:10,46.004498,-72.732582,976063,41.799999,0.666720,3
2019-05-18 16:10,46.004505,-72.732582,976118,41.799999,0.722280,3
2019-05-18 16:10,46.004505,-72.732582,976173,41.799999,0.722280,3
2019-05-18 16:10,46.004505,-72.732582,976228,41.799999,0.722280,3
2019-05-18 16:10,46.004505,-72.732582,976284,41.799999,0.722280,3
2019-05-18 16:10,46.004505,-72.732582,976118,41.799999,0.722280,3
2019-05-18 16:10,46.004505,-72.732582,976173,41.799999,0.722280,3
2019-05-18 16:10,46.004505,-72.732582,976228,41.799999,0.722280,3
2019-05-18 16:10,46.004505,-72.732582,976284,41.799999,0.722280,3
2019-05-18 16:10,46.004505,.732574,977388,41.799999,0.907480,1
2019-05-18 16:10,46.004520,-72.732574,977443,41.799999,0.907480,1
2019-05-18 16:10,46.004520,-72.732574,977498,41.799999,0.907480,1
2019-05-18 16:10,46.004520,-72.732574,977553,41.799999,0.907480,1
2019-05-18 16:10,46.004520,-72.732574,977609,41.799999,0.907480,1
2019-05-18 16:10,46.004520,-72.732574,978288,41.799999,0.907480,1
2019-05-18 16:10,46.004520,-72.732574,978326,41.799999,0.907480,1
2019-05-18 16:10,46.004520,-72.732574,978382,41.799999,0.907480,1
2019-05-18 16:10,46.004520,-72.732574,978437,41.799999,0.907480,1
2019-05-18 16:10,46.004520,-72.732574,979707,41.799999,0.907480,2
2019-05-18 16:10,46.004520,-72.732574,979762,41.799999,0.907480,2
2019-05-18 16:10,46.004520,-72.732574,979817,41.799999,0.907480,2
2019-05-18 16:10,46.004520,-72.732574,979872,41.799999,0.907480,2
2019-05-18 16:10,46.004520,-72.732574,979927,41.799,0.907480,5
2019-05-18 16:10,46.004520,-72.732574,981087,41.799999,0.907480,5
2019-05-18 16:10,46.004520,-72.732574,981142,41.799999,0.907480,5
2019-05-18 16:10,46.004520,-72.732574,981197,41.799999,0.907480,5
2019-05-18 16:10,46.012722,-72.735313,981252,778.500000,0.907480,5
2019-05-18 16:10,46.012722,-72.735313,98130,1309.199951,86.525436,8
2019-05-18 16:10,46.008923,-72.736252,982527,1309.199951,16.834681,8
2019-05-18 16:10,46.008923,-72.736252,982586,1309.199951,16.834681,8
2019-05-18 16:10,46.008923,-72.736252,982644,1309.199951,16.834681,8
2019-05-18 16:10,46.008881,-72.736290,982702,1322.000000,16.834681,8
